item_category_name,item_category_id
PC - Headsets / Headphones,0
Accessories - PS2,1
Accessories - PS3,2
Accessories - PS4,3
Accessories - PSP,4
Accessories - PSVita,5
Accessories - XBOX 360,6
Accessories - XBOX ONE,7
Tickets (digits),8
Delivery of goods,9
Game consoles - PS2,10
Game consoles - PS3,11
Game consoles - PS4,12
Game consoles - PSP,13
Game consoles - PSVita,14
Game consoles - XBOX 360,15
Game consoles - XBOX ONE,16
Game consoles - Other,17
Games - PS2,18
Games - PS3,19
Games - PS4,20
Games - PSP,21
Games - PSVita,22
Games - XBOX 360,23
Игры - XBOX ONE,24
Games - Accessories for games,25
Games Android - Digital,26
Games MAC - Digital,27
Games PC - Additional publications,28
Games PC - Collector's Edition,29
Games PC - Standard Edition,30
Games PC - Digital,31
"Payment card (Movies, Music, Games)",32
Payment cards - Live!,33
Payment cards - Live! (Numeral),34
Payment cards - PSN,35
Payment card - Windows (figure),36
Movies - Blu-Ray,37
Movies - Blu-Ray 3D,38
Movie - Blu-Ray 4K,39
Movie - DVD,40
Cinema - Collector,41
"Books - artbook, encyclopedia",42
Books - Audiobooks,43
Books - Audiobooks (figure),44
Books - Audiobooks 1C,45
Books - Business Books,46
"Books - Comics, Manga",47
Books - Computer Books,48
Books - Methodical materials 1C,49
Books - Postcards,50
Books - Informative literature,51
Books - Travel Guides,52
Books - Fiction,53
Books - Digital,54
Music - CD of local production,55
Music - CD production firm,56
Music - MP3,57
Music - Vinyl,58
Music - Music video,59
Music - Gift Edition,60
Gifts - Attributes,61
"Gifts - gadgets, robots, sports",62
Gifts - Soft Toys,63
Gifts - Board Games,64
Gifts - Games (compact),65
"Gifts - Cards, Stickers",66
Gifts - Development,67
"Gifts - certificates, services",68
Gifts - Souvenirs,69
Gifts - Souvenirs (weighed in),70
"Gifts - Bags, Albums, Mats d / mouse",71
Gifts - Figures,72
Program - 1C: Enterprise 8,73
Program - MAC (figure),74
Program - For home and office,75
Program - Home & Office (Digital),76
Program - Educational,77
Programs - Educational (figure),78
System Tools,79
Utilities - Tickets,80
Net carriers (spire),81
Net carriers (piece),82
batteries,83
